項目,網址
詳全文：稱讚中國在APEC釋善意　宋楚瑜：有大哥的樣子,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240217/
詳全文：小雞雞變「大鵰」　原來褲檔內藏玄機,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240204/
詳全文：超模Gigi蜜戀贊恩2年　唇黏「最愛的人類」示愛,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240192/
詳全文：南投上午再震　氣象局：未來一周仍有規模3~4的餘震,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240079/
詳全文：故鄉「西庄里」將被消滅　傳扁致電賴清德,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240199/
詳全文：失智翁離家3天　誤闖花蓮站遭火車撞死,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240058/
詳全文：不滿軍人反年改方案　「八百壯士」遊行抗議,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240072/
詳全文：選新北市長仍不辭北市副市長職　陳景峻：柯Ｐ選市長也要辭職嗎？,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240258/
詳全文：法拉利姊哭譙餐車遭檢舉　切心收攤棄上萬日薪,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239986/
詳全文：【有片】李永得用客語報告　藍委批聽不懂要求講中文,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240151/
詳全文：大貨車國道爆胎釀火燒車　濃煙一公里外可見,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240073/
詳全文：【不斷更新】兩伊邊境7.3強震　逾210死千人傷 ,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239996/
詳全文：【不斷更新】八百壯士宣布今日活動結束　保存實力明再上凱道抗議,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239947/
