項目,網址
詳全文：【性侵13少年】淫老大臉書充暖男　「我是人不是畜生」,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240242/
詳全文：疑何子雨求救訊號！民航機收到、軍方收不到　妻急問：怎麼辦,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240189/
詳全文：瀏海害iPhone X看不到電量　3招破解！,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239983/
詳全文：傅達仁瑞士安樂死之旅　因兒生病陷兩難,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240259/
詳全文：統一超商4個月漲4次　晨光葡萄土司本月漲2成,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240269/
詳全文：少女洗霸王頭落跑！結帳金額讓網友驚呆了,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240256/
詳全文：不滿軍人反年改方案　「八百壯士」遊行抗議,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240072/
詳全文：法拉利姊哭譙餐車遭檢舉　切心收攤棄上萬日薪,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239986/
詳全文：【不斷更新】兩伊邊境7.3強震　逾210死千人傷 ,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239996/
詳全文：要否加入政黨？　柯P首度回答：不排斥,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240234/
詳全文：柯以柔陷人生難題大掉髮　笑撇強顏歡笑,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240137/
詳全文：妻誤飲摻安眠藥的比菲多　夫趁機嘿咻判刑3年,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240213/
詳全文：她剪開24個LV包做馬桶　定價300萬真能沖水,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240221/
詳全文：大馬密會43小時　林志玲言承旭默契抵中國,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240083/
詳全文：用粉刺機要當心　女學生被吸出大爛痘,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239869/
詳全文：【有片】保時捷跑車迎娶　慘！豬隊友放炮GG了,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240087/
詳全文：當老大性工具慘遭洗腦　4被害少年「樂在其中」,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240202/
詳全文：想安樂死的人幹嘛不自殺？胸外醫師一語道破盲腸,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240214/
詳全文：蔡阿嘎喝「厚！奶茶」　預言下個退燒夯店是…,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240198/
詳全文：難忍歧視跨性別　河莉秀抨擊T.O.P呼麻女,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240176/
詳全文：【雙喜臨門】蔡正元63歲當爸　本周可望回家團圓,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240093/
詳全文：淫老大藏13少年裸照　相互打槍錄影取樂,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240190/
詳全文：30歲告急！女主持人拉警報　只要順眼「我養你」,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240084/
詳全文：【勸導片】30警防「待轉大富翁」　1騎士繞行遭勸導離開,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239982/
詳全文：【超火片】挺過1000℃熔岩　GoPro紀錄岩漿來襲剎那,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239999/
詳全文：向業者揭補教師有愛滋病　女護士GG了,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240039/
詳全文：【有片】W飯店酒客衝突　男子遭劃傷送醫,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240006/
詳全文：陸元琪「都是負債」　1145字駁拿小胖所有財產,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240046/
詳全文：三寶這樣逆向騎車　目擊駕駛驚呆：哇操！,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240140/
詳全文：客委會主委不能講客語！陳為廷怒了：回到戒嚴？,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240150/
詳全文：【有片】​八百壯士抗議年金改革　警方出動霹靂小組待命  ,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240133/
詳全文：手滑傳給老婆清涼照　網友：一圖就知老江湖,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240130/
詳全文：【好威片】化身鋼鐵人？福特車廠讓員工穿這個,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239940/
詳全文：曖昧對象出門都要「母子裝」！她猶豫是否該交往,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240119/
詳全文：地下淫宮豢養13少年　老大夜夜選妃逞獸慾,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240051/
詳全文：辱護理師「輸卵管」後再出招　他提告爆料公社,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240057/
詳全文：【有片】丑男成功啦！  向陌生女索百吻 「比想像容易」,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239729/
詳全文：接未成年女友下課　職業軍人竟成猥褻案被告,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239649/
詳全文：他丟300元給玉蘭花姨　花倒地上！狂踩羞辱！,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240060/
詳全文：網友激推5大炸雞店！第一名不是胖老爹,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240042/
詳全文：館長駁斥「教練賺不到錢」　霸氣公開薪資條啦,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240055/
詳全文：世紀復合！他想到這一對　要志玲「好好愛自己」,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240040/
詳全文：休旅車公開的秘密！　後車廂加這根節稅10萬,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240029/
詳全文：南投又地震！今早08:38芮氏規模3.8　最大震度雲林5級,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240043/
詳全文：海苔出新口味！其實是警訊　真相令人憂心,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240031/
詳全文：【獨家】同志天菜斷開洋妞　女友驚變馬景濤前妻,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239794/
詳全文：機車藏113個保險套　判刑！法官不信他用得完,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240017/
詳全文：尋歡客要性交易　按摩師「只做純按摩」遭毆,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240015/
詳全文：林志玲「想結婚生子」　星座專家建議這樣做,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240013/
詳全文：她赴祭拜兄長頭七　悲慟！途中遇死劫喪命,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240012/
詳全文：毒品控制13少年　戀童男夜夜「選妃」性侵,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240007/
詳全文：「言承旭常來家裡」　林志玲母：我當然OK！,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240011/
詳全文：整形名醫開刀日偷情女醫　「一周嘿咻1次」,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240005/
詳全文：兩台灣男偷獵犀牛　史瓦濟蘭法院重判11年,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239992/
詳全文：立委友人告狀　高鐵直呼冤枉,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239924/
詳全文：【重逢片】狗狗看到當兵主人回來　反應讓人流淚,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239904/
詳全文：不管漲價！油錶沒到想要位置　女怒飆加油員,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239944/
詳全文：命中注定？小黃違停路中間　騎士要過就被她擊落,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239955/
詳全文：奧客「貨運都知道我」　為證件5字經譙店員,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239961/
詳全文：鄉民宴80桌秒殺　台菜二世祖：心情驚恐,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239974/
