項目,網址
詳全文：川普：願調停南海主權爭端,https://tw.appledaily.com/http://www.appledaily.com.tw/appledaily/article/international/20171113/37843805/
詳全文：宋低調晤安倍 台日深化合作,https://tw.appledaily.com/http://www.appledaily.com.tw/appledaily/article/international/20171113/37843814/
詳全文：中日關係「回暖」習展笑顏,https://tw.appledaily.com/http://www.appledaily.com.tw/appledaily/article/international/20171113/37843818/
詳全文：政治漫畫獵人,https://tw.appledaily.com/http://www.appledaily.com.tw/appledaily/article/international/20171113/37843821/
詳全文：台北耳語：解鈴還需繫鈴人（郭淑敏）,https://tw.appledaily.com/http://www.appledaily.com.tw/appledaily/article/international/20171113/37843824/
om.tw/realtimenews/article/new/20171113/1240270/
詳全文：民防隊員建功　婦人保住12萬元現金,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240194/
詳全文：陳致遠11歲女搶當AKB師妹　揪秀琴每天拉票,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240216/
詳全文：南投上午再震　氣象局：未來一周仍有規模3~4的餘震,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240079/
詳全文：社區球場打籃球　遭狂男持棒打破頭,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240224/
詳全文：Apple Watch 愛馬仕全新錶帶明登場,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240246/
詳全文：統一超商4個月漲4次　晨光葡萄土司本月漲2成,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240269/
詳全文：連拉2根漲停　宏碁陳俊聖8度買股終於賺啦！,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240252/
詳全文：亞冠賽熱身賽　日本隊6比0勝西武,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240262/
詳全文：故鄉「西庄里」將被消滅　傳扁致電賴清德,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240199/
詳全文：失智翁離家3天　誤闖花蓮站遭火車撞死,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240058/
詳全文：家長團體抗議　反對性平輔導團「突襲授課」,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240260/
詳全文：少女洗霸王頭落跑！結帳金額讓網友驚呆了,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240256/
詳全文：不滿軍人反年改方案　「八百壯士」遊行抗議,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240072/
詳全文：吳敦義、朱立倫落海先救誰　周錫瑋秒回,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240251/
詳全文：選新北市長仍不辭北市副市長職　陳景峻：柯Ｐ選市長也要辭職嗎？,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240258/
詳全文：慶富案是政府鬧劇？　工程會：絕無放水,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240238/
詳全文：法拉利姊哭譙餐車遭檢舉　切心收攤棄上萬日薪,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239986/
詳全文：【有片】李永得用客語報告　藍委批聽不懂要求講中文,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240151/
詳全文：反對修《勞基法》鬆綁7休1　藍委批：大走回頭路,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240106/
詳全文：坐頭等艙又收賄　中新社前社長遭中共開除黨籍,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240247/
詳全文：大貨車國道爆胎釀火燒車　濃煙一公里外可見,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240073/
詳全文：老佛爺助攻招「桃花」　新香時尚又實在,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239985/
詳全文：男取毒遇警躲超商　藏貨架突兀被識破,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240232/
詳全文：【不斷更新】兩伊邊境7.3強震　逾210死千人傷 ,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239996/
詳全文：【性侵13少年】淫老大臉書充暖男　「我是人不是畜生」,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240242/
詳全文：【不斷更新】八百壯士宣布今日活動結束　保存實力明再上凱道抗議,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239947/
詳全文：Hebe遭盜用賣睫毛液　華研報警打假！,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240227/
詳全文：乳癌復健不怕　北榮引進Pepper機器人,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240240/
詳全文：雙11幸運兒　花79元抽中iPhone X　,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240243/
詳全文：民間團體備佳餚慰勞　打火弟兄暖胃更暖心,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240230/
詳全文：糊塗男鑰匙掉水溝　智警製釣桿耐心撈起,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240225/
詳全文：【郎有情妾無意】高通擬回絕博通　併購戰火將起,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240237/
詳全文：傳陳菊被勸進選台北　柯Ｐ：台北市民素質蠻高的,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240239/
詳全文：離家走失一夜走20公里　流落街頭街受凍警協助,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240178/
詳全文：護藻礁學生寫給蔡英文：妳落選還可參選　有的破壞就沒了,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240233/
詳全文：要否加入政黨？　柯P首度回答：不排斥,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240234/
詳全文：柯以柔陷人生難題大掉髮　笑撇強顏歡笑,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240137/
詳全文：前藍鳥總經理安索波洛斯　轉任勇士總經理,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240231/
詳全文：稱讚中國在APEC釋善意　宋楚瑜：有大哥的樣子,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240217/
詳全文：​工地打工摔斷手　換跑道改當詐欺車手  ,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240220/
詳全文：【好長片】妹妹就愛30公分　不滿足還豪吞牽絲款,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240098/
詳全文：留韓小鮮肉反攻寶島不惜脫光　抖公司監看手機,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240211/
詳全文：7旬婦離家墜山溝　警細心協尋平安歸來,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240212/
詳全文：妻誤飲摻安眠藥的比菲多　夫趁機嘿咻判刑3年,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240213/
詳全文：假觀光真賣淫　2泰籍女遭法辦收容,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240193/
詳全文：茂林今年前3季EPS1.82元　搶攻大尺寸電視新商機,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240229/
詳全文：拿iPhone 4裝X　惡搞路人問評價,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240236/
詳全文： 「你是我世界之光」　菲總杜特蒂獻唱情歌給川普,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240210/
詳全文：她剪開24個LV包做馬桶　定價300萬真能沖水,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240221/
詳全文：大馬密會43小時　林志玲言承旭默契抵中國,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240083/
詳全文：反年金改革今上街頭　交管37小時用路人繞道,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240219/
詳全文：【五貼片】2大3小騎機車5貼載　警：太危險將開罰,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240143/
詳全文：朱立倫施政成果　周錫瑋5個字形容,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240223/
詳全文：假考察真賭博　桃議員邱佳亮詐領補助費,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240081/
詳全文：橋本環奈新照「超色氣」　網友驚：這是誰？,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240160/
詳全文：尾盤爆量下殺　指數跌48點失守10700點關卡,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240222/
詳全文：用粉刺機要當心　女學生被吸出大爛痘,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239869/
詳全文：【有片】保時捷跑車迎娶　慘！豬隊友放炮GG了,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240087/
詳全文：柯P赴議會爭取預算　議員對這項超有意見,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240218/
詳全文：當老大性工具慘遭洗腦　4被害少年「樂在其中」,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240202/
詳全文：【夾殺片】買大支划算？小支i8本季產量恐暴減6成　,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239821/
詳全文：想安樂死的人幹嘛不自殺？胸外醫師一語道破盲腸,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240214/
詳全文：蔡阿嘎喝「厚！奶茶」　預言下個退燒夯店是…,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240198/
詳全文：難忍歧視跨性別　河莉秀抨擊T.O.P呼麻女,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240176/
詳全文：他不堪噪音擾眠　匿名信找鄰居小孩「溝通」下場這樣,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240201/
詳全文：【壹週刊】自己的奶自己救　反骨醫師走上創業路,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240127/
詳全文：【壹週刊】臉皮鬆了不打緊　梁朝偉電眼走跳33年,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240126/
詳全文：技術升級不成　比特幣從紀錄高點崩跌29%,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240209/
詳全文：【有片】要怎麼打？ 大聯盟最難纏5球路投手出爐　,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240050/
詳全文：850克白松露拍賣　香港買家260萬得標,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240206/
詳全文：北北基宜大雨特報　周四五回暖、周末有感降溫,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240044/
詳全文：雙十一業績成長600倍　PChome即起發送感恩購物金,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240208/
詳全文：【道歉片】曾嗆對徐榛蔚很有意見　26天後李永得公開致歉,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240052/
詳全文：【雙喜臨門】蔡正元63歲當爸　本周可望回家團圓,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240093/
詳全文：53歲型男秀品味　劉青雲拼色西裝帥壓全場,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239971/
詳全文：買房貸不高　6關鍵問題點,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1237900/
詳全文：防性侵兒童　法擬定13至15歲為合意性行為最低年齡,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240187/
詳全文：淫老大藏13少年裸照　相互打槍錄影取樂,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240190/
詳全文：司法院前疊放拒馬　夜間警示不足害騎士撞摔,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240070/
詳全文：偷拍狼出沒清大　校方加高女廁隔板防偷拍,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240195/
詳全文：為籌結婚經費提供帳戶　新人險淪為詐欺共犯,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240196/
詳全文：疑何子雨求救訊號！民航機收到、軍方收不到　妻急問：怎麼辦,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240189/
詳全文：30歲告急！女主持人拉警報　只要順眼「我養你」,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240084/
詳全文：腦殘公車站　路邊載客變併排停車,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240172/
詳全文：俞大維故居　北市文資會決議指定為市定古蹟,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240197/
詳全文：遊客逗留平交道案件多　JR西日本加裝中英韓語告示,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240182/
詳全文：【勸導片】30警防「待轉大富翁」　1騎士繞行遭勸導離開,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239982/
詳全文：客語認證報名人數減少　李永得：只是短暫現象,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240180/
詳全文：碧砂漁港旁又巨石崩落　居民心中恐懼再現,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240166/
詳全文：談APEC成績　宋楚瑜：盡心讓世界了解台灣可提供發展範例,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240186/
詳全文：【超火片】挺過1000℃熔岩　GoPro紀錄岩漿來襲剎那,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239999/
詳全文：​昱晶Q3成功轉盈　終止連4季虧損,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240188/
詳全文：向業者揭補教師有愛滋病　女護士GG了,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240039/
詳全文：緯創小金雞緯穎登興櫃　最高衝152元　,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240183/
