項目,網址
詳全文：連拉2根漲停　宏碁陳俊聖8度買股終於賺啦！,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240252/
詳全文：【郎有情妾無意】高通擬回絕博通　併購戰火將起,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240237/
詳全文：茂林今年前3季EPS1.82元　搶攻大尺寸電視新商機,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240229/
詳全文：尾盤爆量下殺　指數跌48點失守10700點關卡,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240222/
詳全文：【夾殺片】買大支划算？小支i8本季產量恐暴減6成　,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239821/
詳全文：技術升級不成　比特幣從紀錄高點崩跌29%,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240209/
詳全文：​昱晶Q3成功轉盈　終止連4季虧損,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240188/
詳全文：緯創小金雞緯穎登興櫃　最高衝152元　,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240183/
詳全文：台幣貶2.1分　中午暫收30.193元,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240175/
詳全文：​綠能科技Q3毛利轉正　擺脫低潮,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240173/
詳全文：【慶富案】黃國昌再轟蔡慶年　「幫慶富作弊」,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240154/
詳全文：IBM將攜星展推首位企業金融AI助理,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240174/
詳全文：​深耕太陽能市場　碩禾獲杜邦非專屬授權協議,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240149/
詳全文：​虹揚-KY收購台灣玻封電子70%股權　擴大二極體版圖,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240163/
詳全文：一金董座有人選？許虞哲：沒有,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240135/
詳全文：傳拿下A11X訂單　台積電股價不動如山,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240138/
詳全文：【台港首富都甲意】電競股雷蛇香港掛牌　首日暴漲42%,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240064/
詳全文：【好威片】化身鋼鐵人？福特車廠讓員工穿這個,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239940/
詳全文：老闆為何喜歡找菜鳥　網友7字點出真相,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240116/
詳全文：台股盤中～台股近期表現差　MSCI恐降權重,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240102/
詳全文：百聿砸億元擴大後製編制　挹注明年營運動能,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240089/
詳全文：軟銀3017億買UBER股權14%　取得2席董事,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240085/
詳全文：【慶富案】密件滿天飛　顧立雄：已經解密,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240067/
詳全文：彩虹小馬、卡娜赫拉耍萌　文創主題展搶商機,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240068/
詳全文：警察4等VS業務　網友一致推警察,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240066/
詳全文：宏達電Vive雙11京東稱霸 　進駐VW狼堡,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240030/
詳全文：拚CSR 　這兩家科技業台廠企業形象佳,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239946/
詳全文：智崴明年全球據點進入開幕潮　將切入VR體感設備領域,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239988/
詳全文：賴揆曾救災　維冠大樓都更聯貸火速簽定,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1239895/
詳全文：十一月十三日財經焦點搶先看,https://tw.appledaily.com/http://www.appledaily.com.tw/realtimenews/article/new/20171113/1240001/
